@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.077228,0.036497,0.008468,0.001064,0.004786,0.000919,0.0083,0.032417,0.077228,0.077228,0.04931,0.012231,0.001439,0.004879,0.000927,0.008252,0.02463,0.077228,0.077228,0.029565,0.009591,0.000775,0.01227,0.001072,0.010947,0.025253,0.077228,0.077228,0.031837,0.014106,0.001836,0.011542,0.002113,0.011599,0.025553,0.077228,6,7
0.071667,0.036356,0.012601,0.008541,0.006824,0.00765,0.013198,0.031813,0.071667,0.071667,0.030567,0.012307,0.006682,0.006739,0.009793,0.016282,0.035195,0.071667,0.071667,0.029148,0.010825,0.008843,0.008525,0.009927,0.01719,0.037582,0.071667,0.071667,0.017626,0.008089,0.004438,0.005375,0.005841,0.009796,0.018913,0.071667,6,7
0.075894,0.03192,0.009318,0.004829,0.003929,0.00617,0.01133,0.038068,0.075894,0.075894,0.02398,0.007844,0.003526,0.005427,0.007571,0.011533,0.030351,0.075894,0.075894,0.039415,0.011864,0.00603,0.00446,0.004692,0.008829,0.029772,0.075894,0.075894,0.030533,0.008848,0.007423,0.005012,0.004263,0.010184,0.025725,0.075894,6,4
0.082857,0.024377,0.005219,0.003124,0.002491,0.004479,0.009313,0.035735,0.082857,0.082857,0.027404,0.008715,0.003585,0.003302,0.004929,0.01125,0.033235,0.082857,0.082857,0.029876,0.007952,0.002984,0.002763,0.003815,0.006552,0.029022,0.082857,0.082857,0.024786,0.008518,0.00363,0.003447,0.004294,0.006173,0.026175,0.082857,5,4
0.068171,0.037975,0.011376,0.004199,0.004052,0.005024,0.011239,0.03184,0.068171,0.068171,0.032424,0.009939,0.004393,0.004015,0.005048,0.011964,0.03326,0.068171,0.068171,0.040735,0.01552,0.008564,0.005873,0.005996,0.015414,0.045904,0.068171,0.068171,0.03348,0.011355,0.005394,0.005407,0.005661,0.011582,0.036997,0.068171,6,6
0.070756,0.021941,0.008379,0.004737,0.007156,0.00596,0.014445,0.036579,0.069961,0.076787,0.030436,0.010662,0.003968,0.003953,0.004945,0.014314,0.043563,0.076787,0.076787,0.038782,0.010574,0.003746,0.003206,0.003756,0.011274,0.03944,0.076787,0.076787,0.018963,0.012063,0.004403,0.004855,0.003727,0.009598,0.023133,0.076787,6,6
0.061071,0.046083,0.022913,0.013226,0.00994,0.009114,0.016016,0.035719,0.061071,0.061071,0.030236,0.015852,0.009879,0.007527,0.008757,0.013322,0.028594,0.061071,0.048505,0.025299,0.01726,0.009018,0.009279,0.007498,0.011282,0.029014,0.058994,0.061071,0.043039,0.020564,0.012118,0.010811,0.009579,0.013067,0.04107,0.061071,4,6
0.066577,0.035897,0.01422,0.006917,0.006445,0.009331,0.015695,0.038225,0.066577,0.066577,0.023898,0.013191,0.007977,0.009209,0.013443,0.014279,0.033833,0.066577,0.066577,0.039967,0.016265,0.00847,0.006958,0.00985,0.016025,0.035677,0.066577,0.066577,0.019875,0.010225,0.00656,0.008472,0.009973,0.013082,0.023425,0.066577,7,6
0.068456,0.038052,0.0131,0.006482,0.005267,0.007559,0.012012,0.037509,0.068456,0.068456,0.026887,0.010537,0.006101,0.005907,0.006047,0.011279,0.030097,0.068456,0.068456,0.042301,0.013,0.007888,0.006036,0.00692,0.011691,0.035575,0.068456,0.068456,0.03855,0.014683,0.009705,0.005895,0.005242,0.010475,0.027554,0.068456,6,5
0.071688,0.02762,0.009061,0.006041,0.00697,0.010411,0.017335,0.046349,0.071688,0.071688,0.022456,0.007882,0.005726,0.006804,0.008155,0.015458,0.032881,0.071688,0.071688,0.03009,0.008333,0.00695,0.008305,0.007751,0.015025,0.04155,0.071688,0.071688,0.021439,0.00914,0.006143,0.007223,0.007008,0.009323,0.025067,0.071688,5,5
0.061794,0.040727,0.014296,0.007779,0.009687,0.010213,0.013944,0.034725,0.061794,0.061794,0.033715,0.013544,0.007652,0.006418,0.009342,0.018036,0.037842,0.061794,0.061794,0.048017,0.016646,0.010217,0.008632,0.012117,0.016329,0.043137,0.061794,0.061794,0.026164,0.011981,0.006509,0.005387,0.007276,0.0109,0.024417,0.061794,7,5
0.071245,0.037286,0.011088,0.006489,0.006856,0.008068,0.014317,0.036991,0.071245,0.071245,0.027009,0.009318,0.004967,0.005306,0.006681,0.014402,0.032134,0.071245,0.071245,0.035594,0.013083,0.006726,0.005743,0.007383,0.011317,0.036512,0.071245,0.071245,0.030449,0.012347,0.006567,0.005928,0.005238,0.009135,0.023105,0.071245,6,7
0.085134,0.051804,0.012651,0.005974,0.004167,0.007458,0.014021,0.03933,0.085134,0.085134,0.023135,0.014266,0.008713,0.006164,0.006351,0.012841,0.049465,0.085134,0.085134,0.01306,0.002525,0.000626,0.001457,0.000991,0.004061,0.01357,0.085134,0.071452,0.003767,0.001252,0.000296,0.001301,0.001345,0.006302,0.025714,0.085134,5,7
0.068802,0.03376,0.014444,0.010238,0.007478,0.00735,0.014497,0.041548,0.068802,0.068802,0.026617,0.007929,0.003454,0.005171,0.008218,0.011765,0.032606,0.068802,0.068802,0.037042,0.014437,0.008146,0.007412,0.008592,0.010937,0.030868,0.068802,0.068802,0.036847,0.01171,0.005559,0.004777,0.005752,0.009379,0.033053,0.068802,6,7
0.074114,0.031983,0.009127,0.003868,0.003682,0.00544,0.01246,0.037558,0.074114,0.074114,0.035453,0.011612,0.004582,0.003245,0.006003,0.012911,0.03752,0.074114,0.074114,0.032032,0.008214,0.004565,0.004261,0.004265,0.01049,0.03513,0.074114,0.074114,0.034588,0.010096,0.004603,0.004842,0.004419,0.008013,0.026125,0.074114,6,4
0.064066,0.026817,0.011278,0.00959,0.011021,0.012037,0.020869,0.050676,0.064066,0.064066,0.024174,0.013578,0.011299,0.013349,0.009653,0.013725,0.035304,0.064066,0.064066,0.019465,0.009535,0.007358,0.006799,0.008761,0.01529,0.043149,0.064066,0.064066,0.025958,0.009888,0.010149,0.011702,0.011239,0.014147,0.03066,0.064066,6,4
0.062092,0.024105,0.011366,0.006038,0.003744,0.006814,0.019245,0.05361,0.062092,0.062092,0.029857,0.011171,0.007019,0.005085,0.008508,0.023397,0.061769,0.062092,0.062092,0.031742,0.013934,0.007036,0.005496,0.008775,0.019095,0.045445,0.062092,0.062092,0.030522,0.01291,0.005811,0.004941,0.006761,0.012409,0.02666,0.062092,6,6
